河流名称,代码,上一级河流名称,上一级河流代码,备注
马颊河,ACG10000,,,
道口干渠,ACG10204,马颊河,ACG10000,
鸿雁渠,ACG10304,马颊河,ACG10000,
平陵河,ACG10406,马颊河,ACG10000,
马颊河故道,ACG10506,马颊河,ACG10000,
朱家河,ACG10606,马颊河,ACG10000,
宁津新河,ACG10706,马颊河,ACG10000,
德惠新河,ACG10106,马颊河,ACG10000,
赵王河,ACG10116,德惠新河,ACG10106,
临商河,ACG10126,德惠新河,ACG10106,
幸福河,ACG10136,德惠新河,ACG10106,
徒骇河,ACG11000,,,
新金线河,ACG11306,徒骇河,ACG11000,
赵王河,ACG11406,徒骇河,ACG11000,
西新河,ACG11506,徒骇河,ACG11000,
四新河,ACG11606,徒骇河,ACG11000,
七里河,ACG11706,徒骇河,ACG11000,
赵牛新河,ACG11106,徒骇河,ACG11000,
赵牛河,ACG11806,徒骇河,ACG11000,
普济沟,ACG11816,赵牛河,ACG11806,
巴公河,ACG11826,赵牛河,ACG11806,
中心河,ACG11836,赵牛河,ACG11806,
温聪河,ACG11846,赵牛河,ACG11806,
倪伦河,ACG11856,赵牛河,ACG11806,
大寺干沟,ACG11906,徒骇河,ACG11000,
沙河,ACG11A06,徒骇河,ACG11000,
土马河,ACG11A16,沙河,ACG11A06,
秦口河,ACG11200,,,
潮河,ACG12000,,,
马新河,ACG13000,,,
沾利河,ACG14000,,,
草桥沟,ACG15000,,,
