河流名称,代码,上一级河流名称,上一级河流代码,备注
卫运河,ACF00006,,,于四女寺枢纽分为岔河、减河和南运河
卫河,ACF11006,卫运河,ACF00006,
大沙河,ACF11106,卫河,ACF11006,
峪河,ACF11206,卫河,ACF11006,
孟姜女河,ACF11706,卫河,ACF11006,西孟姜女河
东孟姜女河,ACF11806,卫河,ACF11006,
共产主义渠,ACF11304,卫河,ACF11006,
石门河,ACF11316,共产主义渠,ACF11304,
沧河,ACF11326,共产主义渠,ACF11304,
思德河,ACF11336,共产主义渠,ACF11304,
淇河,ACF11406,卫河,ACF11006,
淅河,ACF11416,淇河,ACF11406,
香木河,ACF11426,淇河,ACF11406,
石门河,ACF11436,淇河,ACF11406,
长虹渠,ACF11904,卫河,ACF11006,
汤河,ACF11506,卫河,ACF11006,
永通河,ACF11516,汤河,ACF11506,
羑河,ACF11526,汤河,ACF11506,
安阳河,ACF11606,卫河,ACF11006,
粉红江,ACF11616,安阳河,ACF11606,安阳河上游
硝河,ACF11G06,卫河,ACF11006,
漳河,ACF10006,卫河,ACF11006,
清漳河,ACF10206,漳河,ACF10006,
浊漳河,ACF10106,漳河,ACF10006,
淸漳东源,ACF10216,清漳河,ACF10206,
清漳西源,ACF10226,清漳河,ACF10206,
浊漳北源,ACF10116,浊漳河,ACF10106,
云簇河,ACF10126,浊漳北源,ACF10116,云竹河
涅河,ACF10136,浊漳北源,ACF10116,
蟠洪河,ACF101D6,浊漳北源,ACF10116,
浊津西源,ACF10146,浊漳河,ACF10106,
圪芦河,ACF10156,浊津西源,ACF10146,
白玉河,ACF10166,浊津西源,ACF10146,
浊漳南源,ACF10176,浊漳河,ACF10106,
淘清河,ACF10186,浊漳南源,ACF10176,
岚河,ACF10196,浊漳南源,ACF10176,
石子河,ACF101A6,浊漳南源,ACF10176,
绛河,ACF101B6,浊漳南源,ACF10176,
平顺河,ACF101E6,浊漳河,ACF10106,
露水河,ACF101C6,浊漳河,ACF10106,
跃峰渠总干,ACF10304,漳河,ACF10006,
漳南总干渠,ACF10404,漳河,ACF10006,
民有总干渠,ACF10604,漳河,ACF10006,
民有一干渠,ACF10614,民有总干渠,ACF10604,
太平渠,ACF10504,漳河,ACF10006,
跃进渠,ACF11H06,卫河,ACF11006,
无棣沟,ACF14006,漳卫新河,ACF03000,
南运河,ACF12006,,,连接卫运河与海河
捷地减河,ACF12106,南运河,ACF12006,
老石碑河,ACF12116,捷地减河,ACF12106,
马厂减河,ACF12206,南运河,ACF12006,
争光渠,ACF12306,南运河,ACF12006,
漳卫新河,ACF03000,,,
岔河,ACF01006,漳卫新河,ACF03000,
减河,ACF02006,漳卫新河,ACF03000,
六五河,ACF13006,减河,ACF02006,
