河流名称,代码,上一级河流名称,上一级河流代码,备注
淮河,AEA00006,,,
月河,AEA1A006,淮河,AEA00006,
陈刘店河,AEA1B006,淮河,AEA00006,
固县河,AEA1C006,淮河,AEA00006,
毛集河,AEA1D006,淮河,AEA00006,
游河,AEA1E006,淮河,AEA00006,
明河,AEA1H006,淮河,AEA00006,
浉河,AEA10006,淮河,AEA00006,
飞沙河,AEA10106,浉河,AEA10006,
东双河,AEA10306,浉河,AEA10006,
南湾北干渠,AEA10506,浉河,AEA10006,
南湾南干渠,AEA10606,浉河,AEA10006,
竹竿河,AEA11006,淮河,AEA00006,
九龙河,AEA11306,竹竿河,AEA11006,
小潢河,AEA11106,竹竿河,AEA11006,
淸水河,AEA1J006,淮河,AEA00006,
澺河,AEA1K006,淮河,AEA00006,
寨河,AEA12006,淮河,AEA00006,
青龙河,AEA12106,寨河,AEA12006,
泥河,AEA1L006,淮河,AEA00006,信阳市
闾河,AEAl3006,淮河,AEA00006,
潢河,AEA14006,淮河,AEA00006,
田铺河,AEA14106,潢河,AEA14006,
泼陂河,AEA14206,潢河,AEA14006,
泼河东干渠,AEA14214,泼陂河,AEA14206,
晏家河,AEA14306,潢河,AEA14006,
乌龙港,AEA1M006,淮河,AEA00006,
洪河,AEA15006,淮河,AEA00006,
滚河,AEA15106,洪河,AEA15006,
淤泥河,AEA15406,洪河,AEA15006,
杨岗河,AEA15506,洪河,AEA15006,
北马肠河,AEA15606,洪河,AEA15006,
南马肠河,AEA15G06,洪河,AEA15006,
荆河,AEAl5706,洪河,AEA15006,
茅河,AEA15806,洪河,AEA15006,
大黄港,AEA15906,洪河,AEA15006,
小淸河,AEA15A06,洪河,AEA15006,
戚桥港,AEA15B06,洪河,AEA15006,
龙口大港,AEA15C06,洪河,AEA15006,
汝河,AEA15206,洪河,AEA15006,
练江河,AEA15286,汝河,AEA15206,
北汝河,AEA15226,汝河,AEA15206,
北柳堰河,AEA152P6,北汝河,AEA15226,
奎旺河,AEA15296,北汝河,AEA15226,
红澍河,AEA152H6,北汝河,AEA15226,
臻头河,AEA15256,汝河,AEA15206,
簿山北干渠,AEA152U4,臻头河,AEA15256,
簿山南干渠,AEA152V4,臻头河,AEA15256,
文殊河,AEA152A6,汝河,AEA15206,
慎水河,AEA152B6,汝河,AEA15206,
黄大港,AEA152C6,汝河,AEA15206,
板桥北干渠,AEA152S4,汝河,AEA15206,
板桥南干渠,AEA152T4,汝河,AEA15206,
宿灌一干渠,AEA152W4,汝河,AEA15206,
宿灌二干渠,AEA152X4,汝河,AEA15206,
宿灌三干渠,AEA152Y4,汝河,AEA15206,
白露河,AEA16006,淮河,AEA00006,
亚港,AEA16406,白露河,AEA16006,
春河,AEA16506,白露河,AEA16006,
史河,AEA17006,淮河,AEA00006,
白水河,AEA17806,史河,AEA17006,
麻河,AEA17906,史河,AEA17006,
长江河,AEA17306,史河,AEA17006,
史河总干渠,AEA17A06,史河,AEA17006,
沣西干渠,AEA17A16,史河总干渠,AEA17A06,
沣东干渠,AEA17A26,史河总干渠,AEA17A06,
汲东干渠,AEA17A36,史河总干渠,AEA17A06,
梅山南干渠,AEA17B06,史河,AEA17006,
梅山中干渠,AEA17C06,史河,AEA17006,
梅山东干渠,AEA17D06,史河,AEA17006,
灌河,AEA17106,史河,AEA17006,
鲶鱼山西干渠,AEA17E06,史河,AEA17006,
鲶鱼山中干渠,AEA17F06,史河,AEA17006,
鲶鱼山东干渠,AEA17G06,史河,AEA17006,
泉河,AEA17206,史河,AEA17006,
蒙河分洪道,AEA18006,淮河,AEA00006,
洪河分洪道,AEA18106,蒙河分洪道,AEA18006,
谷河,AEA18206,洪河分洪道,AEA18106,
界南解河,AEA18216,谷河,AEA18206,
润河,AEA19006,淮河,AEA00006,
沣河,AEA20006,淮河,AEA00006,
沿岗河,AEA20106,沣河,AEA20006,
沣东干渠,AEA47004,淮河,AEA00006,
汲河,AEA21006,淮河,AEA00006,
淠河,AEA22006,淮河,AEA00006,
黄尾河,AEA22106,淠河,AEA22006,
西淠河,AEA22206,淠河,AEA22006,
淠河总干渠,AEA22304,淠河,AEA22006,
淠杭干渠,AEA22316,淠河总干渠,AEA22304,
淠东干渠,AEA22326,淠河总干渠,AEA22304,
瓦西干渠,AEA22336,淠河总干渠,AEA22304,
瓦东干渠,AEA22346,淠河总干渠,AEA22304,
颍河,AEA23006,淮河,AEA00006,
石淙河,AEA23C06,颍河,AEA23006,
四支渠,AEA23Q06,颍河,AEA23006,
吴公河,AEA23106,颍河,AEA23006,
运粮河,AEA23126,吴公河,AEA23106,
柳塔河,AEA23F06,颍河,AEA23006,
清巽河,AEA23206,颍河,AEA23006,
新沟河,AEA23236,清巽河,AEA23206,
鸡爪沟,AEA23256,清巽河,AEA23206,
清流河,AEA23306,颍河,AEA23006,
二道河,AEA23316,淸流河,AEA23306,
大浪沟,AEA23346,淸流河,AEA23306,
重建沟,AEA23L06,颍河,AEA23006,
沙河,AEA23406,颍河,AEA23006,
荡泽河,AEA234C6,沙河,AEA23406,
大浪河,AEA234E6,沙河,AEA23406,
澎河,AEA234F6,沙河,AEA23406,
西湛河,AEA234J6,沙河,AEA23406,
白龟山北干渠,AEA23494,沙河,AEA23406,
北汝河,AEA23416,沙河,AEA23406,
南河,AEA23AB6,北汝河,AEA23416,
石河,AEA23AM6,北汝河,AEA23416,
净肠河,AEA23AL6,石河,AEA23AM6,
灰河,AEA234Q6,沙河,AEA23406,
泥河,AEA234K6,沙河,AEA23406,
澧河,AEA23426,沙河,AEA23406,
甘江河,AEA23436,澧河,AEA23426,
贾河,AEA234W6,甘江河,AEA23436,
马子河,AEA234M6,澧河,AEA23426,
唐河,AEA234R6,澧河,AEA23426,
贾鲁河,AEA23506,颍河,AEA23006,
贾峪河,AEA23516,贾鲁河,AEA23506,
索须河,AEA235A6,贾鲁河,AEA23506,
丈八沟,AEA235H6,贾鲁河,AEA23506,
堤里小淸河,AEA235G6,贾鲁河,AEA23506,
康沟河,AEA235L6,贾鲁河,AEA23506,
杜公河,AEA235N6,康沟河,AEA235L6,
双洎河,AEA23526,贾鲁河,AEA23506,
双狼沟,AEA235S6,贾鲁河,AEA23506,
新运河,AEA23606,颍河,AEA23006,
黄水沟,AEA23616,新运河,AEA23606,
清水河,AEA23636,新运河,AEA23606,
流沙河,AEA23646,新运河,AEA23606,
洼冲沟,AEA23656,流沙河,AEA23646,
朱集沟,AEA23G06,颍河,AEA23006,
