河流名称,代码,上一级河流名称,上一级河流代码,备注
沱沱河,AFA00006,,,长江干流
波陇曲,AFABA006,沱沱河,AFA00006,
半成河,AFABA106,波陇曲,AFABA006,
萨保查曲,AFABB006,沱沱河,AFA00006,
斜日贡尼曲,AFABC006,沱沱河,AFA00006,
扎木曲,AFA10006,沱沱河,AFA00006,
岗齐曲,AFA10106,扎木曲,AFA10006,
冬多曲,AFA10206,扎木曲,AFA10006,
通天河,AFA01006,,,长江干流
当曲,AFA11006,通天河,AFA01006,
撒当曲,AFA11306,当曲,AFA11006,
汊当曲,AFA11406,当曲,AFA11006,
吾钦曲,AFA11506,当曲,AFA11006,
加吕曲,AFA11606,当曲,AFA11006,
杈吾曲,AFA11706,当曲,AFA11006,
鄂尔玛纳草,AFA11806,当曲,AFA11006,
天（庭）曲,AFA11106,当曲,AFA11006,
布曲,AFA11206,当曲,AFA11006,
茸玛曲,AFA11236,布曲,AFA11206,
尕尔曲,AFA11216,当曲,AFA11006,
加夯曲,AFA11246,尕尔曲,AFA11216,
尕日曲,AFA11256,尕尔曲,AFA11216,
冬曲,AFA11226,尕尔曲,AFA11216,旦曲
窝布绒曲,AFA112A6,冬曲,AFA11226,
日阿池曲,AFABG006,通天河,AFA01006,然池曲
莫曲,AFA12006,通天河,AFA01006,
鄂曲,AFA12106,莫曲,AFA12006,
洛德玛昌茸曲,AFA12206,莫曲,AFA12006,
牙哥曲,AFA13006,通天河,AFA01006,
北麓河,AFA14006,通天河,AFA01006,
日阿池曲,AFA14J06,北麓河,AFA14006,
白日巴玛曲,AFA14206,北麓河,AFA14006,
白日富玛曲,AFA14306,北麓河,AFA14006,
科欠曲,AFA15006,通天河,AFA01006,
崩曲,AFA15106,科欠曲,AFA15006,
勒池曲,AFABH006,通天河,AFA01006,
楚玛尔河,AFA16006,通天河,AFA01006,
婆饶丛琼曲,AFA16106,楚玛尔河,AFA16006,
巴拉大才曲,AFA16206,楚玛尔河,AFA16006,
那口曲,AFA16306,楚抖尔河,AFA16006,
涌那谷曲,AFA16406,楚玛尔河,AFA16006,
扎日尕那曲,AFA16506,楚玛尔河,AFA16006,
牙扎曲,AFA16606,楚玛尔河,AFA16006,
色吾曲,AFA17006,通天河,AFA01006,
加巧曲,AFA17106,色吾曲,AFA17006,
登恩涌,AFABJ006,通天河,AFA01006,
宁恰曲,AFA18006,通天河,AFA01006,聂恰曲
昂欠涌曲,AFA18206,宁恰曲,AFA18006,
多采曲,AFA18106,宁恰曲,AFA18006,
登艾龙曲,AFA19006,通天河,AFA01006,
德曲,AFA20006,通天河,AFA01006,
解吾曲,AFA20106,德曲,AFA20006,
曼宗曲,AFA21006,通天河,AFA01006,
叶曲,AFA22006,通天河,AFA01006,
金沙江,AFA02006,,,长江干流
巴塘河,AFA23006,金沙江,AFA02006,
巴曲,AFA23106,巴塘河,AFA23006,
色曲,AFA24006,金沙江,AFA02006,夕河
麦宿河,AFA25006,金沙江,AFA02006,
赠曲,AFA26006,金沙江,AFA02006,
扎拉河,AFA26106,赠曲,AFA26006,
欧曲,AFA27006,金沙江,AFA02006,
藏曲,AFA28006,金沙江,AFA02006,
詹曲,AFA28106,藏曲,AFA28006,字曲
热曲,AFA29006,金沙江,AFA02006,
马曲,AFA29106,热曲,AFA29006,
降曲,AFA30006,金沙江,AFA02006,
巴楚河,AFA31006,金沙江,AFA02006,曲戈河
桑曲,AFA31106,巴楚河,AFA31006,
宗曲,AFA32006,金沙江,AFA02006,达拉曲
