河流名称,代码,上一级河流名称,上一级河流代码,备注
黄河,ADA00000,,,
卡日曲,ADA10006,黄河,ADA00000,喀日曲
尕日阿强咯曲,ADA10106,卡日曲,ADA10006,
马曲,ADA8A006,黄河,ADA00000,
阿棚鄂里曲,ADA8A106,玛曲,ADA8A006,
扎曲,ADA8A206,玛曲,ADA8A006,
多曲,ADA11006,黄河,ADA00000,
贝敏曲,ADA11106,多曲,ADA11006,
拉香切,ADA11116,贝敏曲,ADA11106,
邹玛曲,ADA11206,多曲,ADA11006,
勒那曲,ADA12006,黄河,ADA00000,
多钦安科朗河,ADA13006,黄河,ADA00000,
热曲,ADA14006,黄河,ADA00000,
黑河,ADA14206,热曲,ADA14006,
东曲,ADA15006,黄河,ADA00000,
优尔曲,ADA16006,黄河,ADA00000,
白马曲,ADA8B006,黄河,ADA00000,
夏曲,ADA8C006,黄河,ADA00000,
科曲,ADA17006,黄河,ADA00000,柯曲
康浪,ADA17106,科曲,ADA17006,
兰木龙,ADA17206,科曲,ADA17006,
达日勒曲,ADA18006,黄河,ADA00000,达日河
都曲,ADA18106,达日勒曲,ADA18006,
吉迈河,ADA19006,黄河,ADA00000,
吉拉曲,ADA19106,吉迈河,ADA19006,
当曲,ADA8D006,黄河,ADA00000,
西科曲,ADA20006,黄河,ADA00000,
东科（柯）曲,ADA21006,黄河,ADA00000,
章安河,ADA22006,黄河,ADA00000,
曲哈,ADA8E006,黄河,ADA00000,
沙曲,ADA23006,黄河,ADA00000,
贡曲,ADA8F006,黄河,ADA00000,
夏容曲,ADA8G006,黄河,ADA00000,
贾曲,ADA24006,黄河,ADA00000,沙柯曲
白河,ADA25006,黄河,ADA00000,
朗米曲,ADA25106,白河,ADA25006,
阿木曲,ADA25206,白河,ADA25006,
朗曲,ADA8H006,黄河,ADA00000,
黑河,ADA26006,黄河,ADA00000,
麦曲,ADA26106,黑河,ADA26006,
热曲,ADA26206,黑河,ADA26006,
达木曲,ADA26306,黑河,ADA26006,
兰木错曲,ADA8J006,黄河,ADA00000,
西科河,ADA27006,黄河,ADA00000,
泽曲,ADA28006,黄河,ADA00000,
得科河,ADA8K006,黄河,ADA00000,
切木曲,ADA29006,黄河,ADA00000,
东科河,ADA29106,切木曲,ADA29006,
格曲,ADA29206,切木曲,ADA29006,
巴曲,ADA30006,黄河,ADA00000,巴沟
尕干曲,ADA30106,巴曲,ADA30006,
曲什安河,ADA31006,黄河,ADA00000,
长水,ADA31106,曲什安河,ADA31006,
尕曲,ADA31206,曲什安河,ADA31006,
大河坝河,ADA32006,黄河,ADA00000,
水塔拉河,ADA32106,大河坝河,ADA32006,
青根河,ADA32206,大河坝河,ADA32006,
黄清河,ADA32306,大河坝河,ADA32006,
芒拉河,ADA33006,黄河,ADA00000,
夏曲,ADA34006,黄河,ADA00000,沙沟
木河沟,ADA34106,夏曲,ADA34006,
恰卜恰河,ADA8N006,黄河,ADA00000,
莫渠沟河,ADA8P006,黄河,ADA00000,西沟
东沟,ADA35006,黄河,ADA00000,高红崖河
清水河,ADA35106,东沟,ADA35006,
隆务河,ADA36006,黄河,ADA00000,
麦秀河,ADA36106,隆务河,ADA36006,
马科曲,ADA36116,麦秀河,ADA36106,
羊智河,ADA36206,隆务河,ADA36006,
巴燕沟,ADA8R106,黄河,ADA00000,
街子沟,ADA8S106,黄河,ADA00000,
清水,ADA8T106,黄河,ADA00000,
提龙哇沟,ADA8U106,黄河,ADA00000,
洪水沟,ADA8V106,黄河,ADA00000,
陈家河,ADA8W006,黄河,ADA00000,
大夏河,ADA37006,黄河,ADA00000,
大纳囊,ADA37306,大夏河,ADA37006,
永曲,ADA37406,大夏河,ADA37006,
咯河,ADA37106,永曲,ADA37406,
麻历河,ADA37206,大夏河,ADA37006,麻历沟
赛欠曲,ADA37216,麻历河,ADA37206,
洮河,ADA38006,黄河,ADA00000,
周可河,ADA38106,洮河,ADA38006,
科才河,ADA38206,洮河,ADA38006,
瓦欧,ADA38216,科才河,ADA38206,
括合曲,ADA38306,洮河,ADA38006,
博拉河,ADA38406,洮河,ADA38006,
车巴沟,ADA38506,洮河,ADA38006,
日久库,ADA38806,洮河,ADA38006,
大峪沟,ADA38906,洮河,ADA38006,
迭藏河,ADA38A06,洮河,ADA38006,
羊沙河,ADA38B06,洮河,ADA38006,
冶木河,ADA38606,洮河,ADA38006,
漫坝河,ADA38C06,洮河,ADA38006,
三岔河,ADA38D06,洮河,ADA38006,
庆坪河,ADA38E06,洮河,ADA38006,
广通河,ADA38706,洮河,ADA38006,
牙塘河,ADA38716,广通河,ADA38706,
沙子沟干渠,ADA8X004,黄河,ADA00000,
湟水,ADA39006,黄河,ADA00000,
药水河,ADA39406,湟水,ADA39006,
西纳川,ADA39506,湟水,ADA39006,
云谷川,ADA39606,湟水,ADA39006,
水峡河,ADA39706,湟水,ADA39006,
北川河,ADA39106,湟水,ADA39006,
黑林河,ADA39116,北川河,ADA39106,
东峡河,ADA39126,北川河,ADA39106,
瓜拉河,ADA39136,北川河,ADA39106,
南川河,ADA39806,湟水,ADA39006,
沙塘川,ADA39206,湟水,ADA39006,
南门峡河,ADA39906,湟水,ADA39006,
小南川,ADA39A06,湟水,ADA39006,
红崖子河,ADA39B06,湟水,ADA39006,
白沈家沟,ADA39C06,湟水,ADA39006,
引胜沟,ADA39D06,湟水,ADA39006,
岗子沟,ADA39E06,湟水,ADA39006,
松树沟,ADA39F06,湟水,ADA39006,
火拉沟,ADA39G06,湟水,ADA39006,
巴州沟,ADA39H06,湟水,ADA39006,
大通河,ADA39306,湟水,ADA39006,
多索曲,ADA39316,大通河,ADA39306,
江仓曲,ADA39326,大通河,ADA39306,
庄浪河,ADA40006,黄河,ADA00000,
咸水河,ADA8Y006,黄河,ADA00000,
十六支渠,ADA8Z004,黄河,ADA00000,
宛川河,ADA41006,黄河,ADA00000,
蔡家河,ADA92006,黄河,ADA00000,
强湾东干渠,ADA94004,黄河,ADA00000,
南干渠,ADA95004,黄河,ADA00000,
祖厉河,ADA42006,黄河,ADA00000,
干沟河,ADA42206,祖厉河,ADA42006,
小河,ADA42306,祖厉河,ADA42006,
苦水河,ADA42406,祖厉河,ADA42006,
关川河,ADA42106,祖厉河,ADA42006,
总干渠,ADA96004,黄河,ADA00000,
清水河(宁),ADA43006,黄河,ADA00000,
东至河,ADA43506,清水河,ADA43006,
中河,ADA43106,清水河,ADA43006,
苋麻河,ADA43606,清水河,ADA43006,
双井子沟,ADA43706,清水河,ADA43006,
折死沟,ADA43206,清水河,ADA43006,
西河,ADA43306,清水河,ADA43006,
麻春堡河,ADA43316,西河,ADA43306,
马营河,ADA43326,西河,ADA43306,
金鸡儿沟,ADA43406,清水河,ADA43006,
长沙河,ADA43806,清水河,ADA43006,
七星渠,ADA97004,黄河,ADA00000,
红柳沟,ADA44006,黄河,ADA00000,
跃进渠,ADA98004,黄河,ADA00000,
东干渠,ADAA1004,黄河,ADA00000,
河西总干渠,ADA99004,黄河,ADA00000,
西干渠,ADA99104,河西总干渠,ADA99004,
唐徕渠,ADA99204,河西总干渠,ADA99004,
第二农场渠,ADA99214,唐徕渠,ADA99204,
汉廷渠,ADA99304,河西总干渠,ADA99004,
